task_index,task,module,path,status,reason,artifacts
1,Arithmetic/Accumulator/accu,accu,direct_mygo_inline,PASS,"===========Your Design Passed===========
testbench.v:85: $finish called at 150000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/001_Arithmetic_Accumulator_accu/direct_mygo_inline
2,Arithmetic/Adder/adder_16bit,adder_16bit,direct_mygo_inline,PASS,===========Your Design Passed===========,/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/002_Arithmetic_Adder_adder_16bit/direct_mygo_inline
3,Arithmetic/Adder/adder_32bit,adder_32bit,direct_mygo_inline,PASS,===========Your Design Passed===========,/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/003_Arithmetic_Adder_adder_32bit/direct_mygo_inline
4,Arithmetic/Adder/adder_8bit,adder_8bit,direct_mygo_inline,PASS,===========Your Design Passed===========,/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/004_Arithmetic_Adder_adder_8bit/direct_mygo_inline
5,Arithmetic/Adder/adder_bcd,adder_bcd,direct_mygo_inline,PASS,"=========== Your Design Passed ===========
testbench.v:56: $finish called at 1000000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/005_Arithmetic_Adder_adder_bcd/direct_mygo_inline
6,Arithmetic/Adder/adder_pipe_64bit,adder_pipe_64bit,direct_mygo_inline,PASS,"=========== Your Design Passed ===========
testbench.v:47: $finish called at 2800 (1s)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/006_Arithmetic_Adder_adder_pipe_64bit/direct_mygo_inline
7,Arithmetic/Comparator/comparator_3bit,comparator_3bit,direct_mygo_inline,PASS,"=========== Your Design Passed ===========
testbench.v:48: $finish called at 1000000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/007_Arithmetic_Comparator_comparator_3bit/direct_mygo_inline
8,Arithmetic/Comparator/comparator_4bit,comparator_4bit,direct_mygo_inline,PASS,"=========== Your Design Passed ===========
testbench.v:48: $finish called at 1000000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/008_Arithmetic_Comparator_comparator_4bit/direct_mygo_inline
9,Arithmetic/Divider/div_16bit,div_16bit,direct_mygo_inline,FAIL,"===========Test completed with         100 /100 failures===========
testbench.v:31: $finish called at 1000000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/009_Arithmetic_Divider_div_16bit/direct_mygo_inline
10,Arithmetic/Divider/radix2_div,radix2_div,direct_mygo_inline,TIMEOUT,simulation timeout,/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/010_Arithmetic_Divider_radix2_div/direct_mygo_inline
11,Arithmetic/Multiplier/multi_16bit,multi_16bit,direct_mygo_inline,PASS,"===========Your Design Passed===========
testbench.v:67: $finish called at 47000 (1s)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/011_Arithmetic_Multiplier_multi_16bit/direct_mygo_inline
12,Arithmetic/Multiplier/multi_8bit,multi_8bit,direct_mygo_inline,PASS,"=========== Your Design Passed ===========
testbench.v:45: $finish called at 1000000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/012_Arithmetic_Multiplier_multi_8bit/direct_mygo_inline
13,Arithmetic/Multiplier/multi_booth_8bit,multi_booth_8bit,direct_mygo_inline,FAIL,"=========== Failed ===========
testbench.v:71: $finish called at 1900 (1ns)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/direct-mygo-inline-pass1-20260608/013_Arithmetic_Multiplier_multi_booth_8bit/direct_mygo_inline
