task_dir,path,model,finish_reason,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cost
001_Arithmetic_Accumulator_accu,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.6474874019622803,368,262,630,0,0.000277588
002_Arithmetic_Adder_adder_16bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,4.672827482223511,223,419,642,0,0.000406319
003_Arithmetic_Adder_adder_32bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,16.115573406219482,222,1904,2126,0,0.001697834
004_Arithmetic_Adder_adder_8bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,5.579801797866821,220,606,826,0,0.000567704
005_Arithmetic_Adder_adder_bcd,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.982130527496338,347,239,586,0,0.000248443
006_Arithmetic_Adder_adder_pipe_64bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,6.477917194366455,332,705,1037,0,0.000647338
007_Arithmetic_Comparator_comparator_3bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,1.571394920349121,345,91,436,0,0.000847416
008_Arithmetic_Comparator_comparator_4bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,4.632761716842651,383,466,849,0,0.000461593
009_Arithmetic_Divider_div_16bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,5.169137001037598,331,479,810,0,0.000450283
010_Arithmetic_Divider_radix2_div,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,10.90265679359436,534,1082,1616,0,0.000952766
011_Arithmetic_Multiplier_multi_16bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,5.628905534744263,785,620,1405,0,0.000549579
012_Arithmetic_Multiplier_multi_8bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,2.4610912799835205,328,170,498,0,0.000180148
013_Arithmetic_Multiplier_multi_booth_8bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,4.1048197746276855,507,258,765,0,0.001644984
014_Arithmetic_Multiplier_multi_pipe_4bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,5.18509316444397,560,541,1101,0,0.000493406
015_Arithmetic_Multiplier_multi_pipe_8bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,7.720591068267822,704,941,1645,0,0.00084883
