task_index,task,module,path,status,reason,artifacts
1,Arithmetic/Accumulator/accu,accu,direct_verilog,PASS,"===========Your Design Passed===========
testbench.v:85: $finish called at 150000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/001_Arithmetic_Accumulator_accu/direct_verilog
1,Arithmetic/Accumulator/accu,accu,mygo,PASS,"===========Your Design Passed===========
testbench.v:85: $finish called at 150000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/001_Arithmetic_Accumulator_accu/mygo
2,Arithmetic/Adder/adder_16bit,adder_16bit,direct_verilog,PASS,===========Your Design Passed===========,/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/002_Arithmetic_Adder_adder_16bit/direct_verilog
2,Arithmetic/Adder/adder_16bit,adder_16bit,mygo,PASS,===========Your Design Passed===========,/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/002_Arithmetic_Adder_adder_16bit/mygo
3,Arithmetic/Adder/adder_32bit,adder_32bit,direct_verilog,PASS,===========Your Design Passed===========,/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/003_Arithmetic_Adder_adder_32bit/direct_verilog
3,Arithmetic/Adder/adder_32bit,adder_32bit,mygo,MYGO_COMPILE_ERROR,"/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/003_Arithmetic_Adder_adder_32bit/mygo/main.go:3:1: expected 'package', found 'func'",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/003_Arithmetic_Adder_adder_32bit/mygo
4,Arithmetic/Adder/adder_8bit,adder_8bit,direct_verilog,PASS,===========Your Design Passed===========,/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/004_Arithmetic_Adder_adder_8bit/direct_verilog
4,Arithmetic/Adder/adder_8bit,adder_8bit,mygo,FAIL,===========Test completed with         100 /100 failures===========,/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/004_Arithmetic_Adder_adder_8bit/mygo
5,Arithmetic/Adder/adder_bcd,adder_bcd,direct_verilog,PASS,"=========== Your Design Passed ===========
testbench.v:56: $finish called at 1000000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/005_Arithmetic_Adder_adder_bcd/direct_verilog
5,Arithmetic/Adder/adder_bcd,adder_bcd,mygo,PASS,"=========== Your Design Passed ===========
testbench.v:56: $finish called at 1000000 (1ps)",/home/rongxv/work/rtllm-runs/dsv4-mygo-vs-direct-20260608-005901/full/005_Arithmetic_Adder_adder_bcd/mygo
